year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2013,c079,-0.018141995484718804,1.280567862026151,-2.2719184033100386,-1.7512660114379233,-1.3282952336378253,-0.9810593179750554,-0.826319847710999,-0.0244104354724329,-0.2312060531028763,-0.08843287618543938,499182.0,-1225337.0,-11605.0,-109918.0,-42042.0,34822.0,800702.0,-54196.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,c079,0.22692313634210146,1.3983776613915924,-2.5193625963136252,-2.26780202319942,-1.751023645249521,-1.3284021576562013,-0.9842855121908395,-0.034630858914310746,-0.2311825656232099,-0.052365552448023725,593540.0,-631492.0,-19576.0,-130682.0,-29601.0,-28689.0,235732.0,-10768.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,c079,0.4889419170755737,1.6884665046496563,-2.464762409503146,-2.5143814547481576,-2.2645591338670426,-1.7485208101964924,-1.328550971578934,-0.03462050950625168,-0.08954885214328383,-0.06569529270603745,776752.0,-417487.0,-25611.0,-66245.0,-48599.0,-202833.0,160286.0,176263.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,c079,0.43461852573897464,-7.603229807622151,-2.81853532631431,-2.4613323435292855,-2.5105229249165903,-2.2595870745511015,-1.7468222925181611,-0.03456090742174255,-0.5054289205494176,-0.13472036516943786,312622.0,-429711.0,-10290.0,-150484.0,-40111.0,249897.0,220931.0,152854.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,c079,0.21411728577852357,3.5993006785788366,-2.646651035947421,-2.8141052652972167,-2.4586593694129,-2.505335122062171,-2.256141039088149,-0.02691873254649876,-0.24399747747510406,-0.03101100229200696,607328.0,-272072.0,-15570.0,-141130.0,-17937.0,19267.0,84070.0,263956.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,c079,-0.12114581503815156,2.1484921745769183,-2.700710030366346,-2.643983173583411,-2.810699472728884,-2.4549768473257614,-2.5017218462332176,-0.037292797683677166,-0.21338564801105517,-0.08578356858487152,455895.0,-465010.0,-16192.0,-92649.0,-37246.0,24829.0,227988.0,97615.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007,c079,-0.5656204268434772,5.414094834917695,-1.5529912453399237,-1.481829625962181,-1.4201689796190982,-1.3036874144485693,-1.2424603560755048,-0.025934863653499767,-0.23559473044862397,-0.05660476270263478,651081.8181818182,-60825.27272727273,-16081.636363636364,-146087.0909090909,-35099.36363636364,-485.0,-58946.54545454553,333556.9090909091,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,c079,1.7936767856571836,0.8604698415414352,-1.5096395525992463,-1.481829625962181,-1.420168979619098,-1.3036874144485693,-1.2424603560755048,-0.020176184010613607,-0.4034616950079385,-0.0,643702.0,-388670.0,-12369.0,-247342.0,-0.0,-129383.0,-230029.0,-364091.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,c079,0.610285210017336,-0.8322274461101747,-0.5124397019270382,-1.4811729244294551,-1.420168979619098,-1.3036874144485693,-1.2424603560755048,-0.020612868669857277,-0.26354085613481565,-0.14415997367214897,750536.0,1035207.0,-14734.0,-188378.0,-103045.0,5681.0,-139048.0,1346219.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,c079,0.17338364179396787,7.7074898378073815,-0.731098167902197,-0.6219740514033149,-1.4442080598986204,-1.3036874144485693,-1.2424603560755048,-0.020064305407606994,-0.21408687887712263,-0.03881822169308854,766032.0,-188035.0,-14638.0,-156188.0,-28320.0,-28517.0,117164.0,467498.0,0,1,0,0,0,0,0,0,0,0,0,0,0
