year,company,auwgr,lkpp,hlr_lag1,hlr_lag2,hlr_lag3,hlr_lag4,hlr_lag5,mer,der,oer,prem_write_net_lag1,claim_set_net_lag1,exp_management_lag1,exp_comm_incur_net_lag1,exp_other_lag1,prem_liab_diff_lag1,claim_liab_diff_lag1,uw_gain_lag1,class_bonds,class_cnstr_engr,class_cpr,class_fire,class_health,class_mac,class_mahl,class_motor,class_others,class_pa,class_prof_indm,class_pub_lia,class_wic
2014,c166,-0.362143411296374,-5.864363364691173,-2.7266370033415868,-2.58013027006144,-2.541134594088678,-2.321339018717496,-1.6602053328467377,-0.26578682928351177,-0.3395876123818983,-0.006377103991929823,769252.0,-314335.0,-194721.0,-248789.0,-4672.0,135509.0,310000.0,452244.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,c166,0.16245449665021805,1.142998359139484,-3.162447226695601,-2.727091476712573,-2.5809363189999988,-2.5390478649326202,-2.307604197938748,-0.2845427620283109,-0.2210786371093899,-0.005992693349612729,629016.0,-494860.0,-170459.0,-132440.0,-3590.0,94563.0,-150024.0,-227794.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,c166,0.002876618450405124,2.210235621497211,-3.2933943937130805,-3.161503089604088,-2.727284853142871,-2.579732910180727,-2.5315862343777535,-0.3154995992028181,-0.07731973319409616,-0.011540973238514772,679895.0,-507988.0,-204292.0,-50066.0,-7473.0,-37824.0,238200.0,110452.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2017,c166,0.49450648849437984,2.338853141871502,-3.2307879512779607,-3.2924952308269018,-3.1609225163268766,-2.72629145227824,-2.5756634237983627,-0.3250181198760234,-0.2662007907880525,-0.006822662112960859,709166.0,-379694.0,-219516.0,-179791.0,-4608.0,-19058.0,95541.0,2040.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,c166,-0.27839513790889303,-9.35090126496626,-3.374755552439309,-3.2302716635222484,-3.29195392192361,-3.1598133334278726,-2.723476566039299,-0.35045588306237635,-0.28748492450190555,-0.005116021033334942,497496.0,-367618.0,-166048.0,-136212.0,-2424.0,112108.0,308713.0,246015.0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,c166,-3.9084566618275245,1.1280816189205773,-1.8153572372268987,-3.786904883191575,-3.1379793544737593,-2.843165993946418,-2.603856833890222,-0.3282847493368227,0.5148300732803072,-0.01107962958684525,476117.0,-40622.0,-148859.0,233447.0,-5024.0,-281700.0,-99737.0,133622.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,c166,0.9557660171259398,2.2558500268264567,-2.3664884542605114,-3.831036113260252,-1.9545274024038881,-3.4460649754228903,-2.720529008856581,-0.25998723675813656,0.40553340696138296,-0.008854322429631445,424657.0,-69796.0,-105148.0,164012.0,-3581.0,-64684.0,-53767.0,291693.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,c166,1.0834609796405235,1.2072709216812496,-2.6509747491038547,-2.393463988149671,-3.763513158887603,-1.9286675276206273,-3.2716206275677884,-0.2637498471559898,1.0936211247095964,-0.006586743144251398,269883.0,-111573.0,-67792.0,281095.0,-1693.0,40352.0,-152327.0,257945.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,c166,1.6547293463871635,0.905249869673212,-3.3347441967956817,-2.7318271556718274,-2.2560548229000137,-2.537925138782633,-2.6279705451126723,-0.2836943818702258,0.23259429887705155,-0.00597550854490947,354246.0,-160726.0,-95712.0,78472.0,-2016.0,90769.0,-321367.0,-56334.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,c166,2.433685221818347,-6.447138268189172,-3.966342477483011,-3.33396903376238,-2.7317501133513242,-2.2524927374504813,-2.5274007267052183,-0.31657253313161,0.8527574518846104,-0.011582061651707132,274964.0,-131200.0,-82901.0,223312.0,-3033.0,138584.0,35265.0,454991.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,c166,1.805888667892779,-0.3550563321843483,-4.17940377695458,-4.08402185037263,-3.9624414215741184,-3.3295816490159194,-2.7241568957005233,-0.3477622841219367,0.9457279458858163,-0.005073204714765666,177994.0,-175255.0,-58952.0,160318.0,-860.0,155417.0,521150.0,779812.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,c166,0.2120784524529457,1.5466891040094957,-4.260058625707913,-4.228210589653286,-4.22567636678282,-4.281283809016531,-4.375304922986375,-0.28729100209488545,-0.0691875771289167,-0.007507248918837246,2910274.846153846,-1839364.4615384615,-796281.6923076923,-191766.53846153847,-20807.76923076923,-31225.61538461526,-11025.84615384601,19802.923076923078,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,c166,-0.2380917423495606,1.9860372471876793,-6.3555326021540015,-4.228210589653286,-4.22567636678282,-4.281283809016531,-4.375304922986374,-0.3338510986180483,0.048705400138867115,-0.013480935635839662,1205469.0,-1659653.0,-383283.0,55917.0,-15477.0,642365.0,410316.0,255654.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,c166,0.49067406190111246,0.9908976678250613,-7.555555168815014,-5.716474717792863,-4.22567636678282,-4.281283809016531,-4.375304922986373,-0.32833467919541914,0.10078274115401557,-0.01279914843635296,1144248.0,-1724480.0,-357806.0,109829.0,-13948.0,-60109.0,629830.0,-272436.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,c166,0.02168077061047828,3.8269014929327647,-8.16505788703852,-6.839652046908709,-5.4830431212822095,-4.281283809016531,-4.375304922986373,-0.3278270857513205,0.07847317512685718,-0.011064917606536474,1039949.0,-888674.0,-324689.0,77722.0,-10959.0,99053.0,517874.0,510276.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,c166,-0.099613023682742,1.51836829451775,-7.649585941126874,-7.552215013848726,-6.531716219075722,-5.437151152443024,-4.375304922986375,-0.30217053961551804,-0.024282257258287414,-0.009250567490164483,1360376.0,-1101902.0,-391491.0,-31460.0,-11985.0,-509242.0,715198.0,29494.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,c166,-0.04956026408233336,1.3019730279735806,-6.460169429929456,-7.3029990730413905,-7.258839839089666,-6.439020622386309,-5.494313641763734,-0.26032024637144513,-0.0789387878566623,-0.008866321065175781,1917430.0,-1049357.0,-475377.0,-144152.0,-16191.0,-61000.0,-362354.0,-191001.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,c166,-0.020521176229557146,1.4041927949016582,-4.248504342353224,-6.32934992215383,-7.12105519100304,-7.158157170227381,-6.471580242647183,-0.26357086210986147,-0.08412433458147603,-0.0065825139461886395,3903934.0,-1522503.0,-979965.0,-312777.0,-24474.0,-1023000.0,-234695.0,-193480.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,c166,-0.46081269260767116,1.4617685481539726,-3.473588663503335,-4.246819847563483,-6.255955391328473,-7.056531996326148,-7.176677215829985,-0.25070769646317137,-0.09632274376390151,-0.006208823742881004,4353844.0,-1789904.0,-1039564.0,-399404.0,-25745.0,-136000.0,-1052573.0,-89346.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,c166,-0.1509489611542016,0.8923784669370493,-3.3985921301125614,-3.4826645387385415,-4.2463396447359925,-6.2320771435392,-7.069757985543103,-0.25017578566506016,-0.10143449585336117,-0.0056122339028017035,4361846.0,-2607896.0,-1039265.0,-421373.0,-23314.0,-360000.0,-1919992.0,-2009994.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,c166,-0.08284640670401007,1.2620525464041532,-3.4581079991920607,-3.4043934376352967,-3.4885109267125243,-4.250819436334301,-6.24291414809709,-0.26523722879435035,-0.1049167245208068,-0.006364419014165452,4350020.0,-2608842.0,-1098845.0,-434657.0,-26367.0,229000.0,-1066940.0,-656631.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,c166,0.22317388744957484,1.4418365320136832,-3.566881279255727,-3.4613935656024846,-3.4081456945098236,-3.493813223555146,-4.258843825992361,-0.2851166115982144,-0.11762974643079425,-0.0060044747091333095,4246533.0,-2496103.0,-1153102.0,-475732.0,-24284.0,172000.0,-621122.0,-351810.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,c166,0.3501575202602175,2.4866412926919024,-3.6551881385090113,-3.5686628286681645,-3.4635358376457543,-3.411408663403849,-3.4986160163511144,-0.3149020840492049,-0.0669899158580767,-0.01151909883854955,3925867.0,-2372905.0,-1177394.0,-250470.0,-43069.0,-2000.0,796122.0,876151.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,c166,0.4381827239433073,3.2223178357629747,-3.8319239849506483,-3.6562039625380023,-3.569836925728264,-3.4654637166169393,-3.4142390572931505,-0.3252049468608919,-0.02445038431533041,-0.00682687265797854,3284022.0,-1920149.0,-1017124.0,-76472.0,-21352.0,281000.0,620000.0,1149925.0,0,0,0,0,0,0,0,1,0,0,0,0,0
